Category,Category_label,Questions
Fare_Estimation,,what is the estimated price  of my ride
Fare_Estimation,,rate from x to y
Fare_Estimation,,cost from x to y
Fare_Estimation,,cost  of the cab
Fare_Estimation,,cost to x
Fare_Estimation,,current cab price
Fare_Estimation,,current cab cost
Fare_Estimation,,current cab rate
Fare_Estimation,,"what is the estimated price, i need to pay"
Fare_Estimation,,how much will it cost 
Fare_Estimation,,how much ola will charge me
Fare_Estimation,,what is least price i need to pay
Fare_Estimation,,how much do i need to pay 
Cancel,,do ola have cancellation cost 
Cancel,,"do ola charge you , if you cancel cab"
Cancel,,what is the cancellation cost 
Cancel,,cancellation charge for uber
Cancel,,"how much do i need to pay, if i cancel it"
Fare_Estimation,,which costs less ola share or uber pool
Fare_Estimation,,how much ola share and uber pool will charge me 
Fare_Estimation,,price different between ola and uber 
Fare_Estimation,,cheapest cab available
Fare_Estimation,,which is the cheapest cab 
Fare_Estimation,,cheapest route price
Fare_Estimation,,price comparision of ola and uber 
Fare_Estimation,,what is the estimated fare  of my ride
Fare_Estimation,,what is the estimated cost  of my ride
Fare_Estimation,,what is the estimated fare i need to pay
Fare_Estimation,,"what is the estimated cost, i need to pay"
Fare_Estimation,,how much uber will charge me
Cancel,,do uber have cancellation cost 
Cancel,,"do uber charge you , if you cancel cab"
Cancel,,cancellation charge for ola
Duration,,when will driver will reach my place
Duration,,how long driver will take to reach here
Duration,,how far is my cab
Duration,,estimated  time of departure
Duration,,estimated time for my cb to arrive
Duration,,where is my cab
Duration,,how long will it take to reach to my destination
Duration,,when will i reach my destination
Duration,,how long it will take to reach the destination
Duration,,what is the expected time of departure
Duration,,at what time i willl reach my destination
Duration,,how long will be my journey
Duration,,what is my journey duration
Duration,,will i be able to reach my destination before 5:00 pm
Duration,,when will my journey end
Duration,,duration of journey
Duration,,fastest route time
Duration,,how far is my ola
Duration,,how far is my uber
Duration,,expected time of departure
Duration,,tentative time of departure
Duration,,what is the estimated time of departure
Duration,,what is the expected time of arrival
Duration,,what is the estimated time of arrival
Duration,,what is the estimated duration of my cab
Duration,,what is the estimated duration of my arrival
Duration,,what is the expected duration of my arrival
Duration,,at what time i willl reach my location
Duration,,what is the estimated duration of my jouney
Duration,,what is the expected duration of my journey
Book,,book a cab
Book,,get me a cab
Look,,i need a cab  
Look,,cabs available 
Look,,can i get a cab 
Book,,book a cab for airport 
Book,,book a cab from my place
Look,,are cabs available from my home 
Look,,is there any cab nearby my place
Look,,is there any cab available near foru mall 
Look,,any ola present which can pick me up in 5 min 
Book,,"need a cab, urgently"
Book,,get me the cheapest cab available 
Book,,get me the least expensive cab available 
Book,,book a 6 seater cab for me
Book,,book a cab for ooty from bangalore
Book,,book a taxi from banagalore to ooty 
Book,,get me an ola mini
Book,,get me an uber pool
Book,,book an uber for me 
Look,,look for a cab near my place
Book,,i want an ola to drop me at dicyashree technopark 
Book,,book a cab which can take me to my destination fastest 
Book,,book a taxi
Book,,book a ola
Book,,book a uber
Look,,are cabs available from my place
Look,,are cabs available from my office
Look,,are cabs available from my work 
Look,,are cabs available from my hotel 
Look,,are cabs available from my airport 
Look,,are cabs available from my location 
Look,,any uber present which can pick me up in 5 min 
Look,,look for a cab near my place
Book,,book a 7 seater cab for me
Book,,get me an ola share
Book,,get me an ola micro
Book,,get me an ola prime
Book,,get me an ola lux 
Book,,book an ola mini
Book,,book an ola share
Book,,book an ola micro
Book,,book an ola prime 
Book,,book an ola lux 
Book,,get me an uber go
Book,,get me an uber x
Book,,get me an uber xl 
Book,,book an uber pool
Book,,book an uber go
Book,,book an uber x 
Book,,book an uber xl 
Book,,book an ola for me 
Greetings,,Hi
Greetings,,Hi!
Greetings,,Hello
Greetings,,"Hi, how are you?"
Greetings,,how are you?
Greetings,,Hi there!
Greetings,,Hey
Greetings,,Good Morning!
Greetings,,Good Evening!
Greetings,,Good Afternoon!
Greetings,,Good Night!
Greetings,,Thank You!
Greetings,,You are welcome!
Greetings,,How have you been?
Greetings,,How are things?
Greetings,,Thank you very much
Greetings,,That's very kind of you.
Greetings,,How is your day?
Cancel,,i dont want to book this cab.
Cancel,,cancel my cab.
Cancel,,i dont want to go anywhere
Cancel,,i dont want any cab
Cancel,,cancel my booking
Cancel,,cancel it
Look,,i am looking for a cab
Look,,i am looking for a ride
Look,,I am looking for uber
Look,,i am looking for ola
Look,,is there any cab?
Look,,Check for a cab
Look,,Check if there is any cab 
Look,,Check if there is any taxi
Look,,Find a cab nearby
Look,,Find a uber 
Look,,Find an ola
Fare_Estimation,,whats the charge
Fare_Estimation,,charge from x to y
Fare_Estimation,,what is the fare
Fare_Estimation,,fare from x to y
Fare_Estimation,,what is the charge
Fare_Estimation,,what is the amount i need to pay
Fare_Estimation,,expence of my ride
Fare_Estimation,,expence from x to y
Fare_Estimation,,amount from x to y
Fare_Estimation,,what is the expected fare  of my ride
Fare_Estimation,,what is the expected cost  of my ride
Fare_Estimation,,what is the expected fare i need to pay
Fare_Estimation,,"what is the expected cost, i need to pay"
Duration,,how many miuntes will it take
Duration,,How long will it take
Duration,,how many hours will it take
